,PERMNO,Names Date,Standard Industrial Classification Code,Ticker Symbol,Company Name,Price or Bid/Ask Average,Returns,Returns without Dividends,Return on the S&P 500 Index,subset
77,11850,20120629,2911,XOM,EXXON MOBIL CORP,85.57,0.088262,0.088262,0.039555,False
78,11850,20120731,2911,XOM,EXXON MOBIL CORP,86.85,0.014958,0.014958,0.012598,False
79,11850,20120831,2911,XOM,EXXON MOBIL CORP,87.3,0.011744,0.005181,0.019763,False
80,11850,20120928,2911,XOM,EXXON MOBIL CORP,91.45,0.047537,0.047537,0.024236,False
81,11850,20121031,2911,XOM,EXXON MOBIL CORP,91.17,-0.003062,-0.003062,-0.019789,False
82,11850,20121130,2911,XOM,EXXON MOBIL CORP,88.14,-0.026983,-0.033235,0.002847,False
83,11850,20121231,2911,XOM,EXXON MOBIL CORP,86.55,-0.018039,-0.018039,0.007068,False
84,11850,20130131,2911,XOM,EXXON MOBIL CORP,89.97,0.039515,0.039515,0.050428,False
85,11850,20130228,2911,XOM,EXXON MOBIL CORP,89.55,0.001667,-0.004668,0.011061,False
86,11850,20130328,2911,XOM,EXXON MOBIL CORP,90.11,0.006253,0.006253,0.035988,False
87,11850,20130430,2911,XOM,EXXON MOBIL CORP,88.99,-0.012429,-0.012429,0.018086,False
88,11850,20130531,2911,XOM,EXXON MOBIL CORP,90.47,0.023711,0.016631,0.020763,False
89,11850,20130628,2911,XOM,EXXON MOBIL CORP,90.35,-0.001326,-0.001326,-0.014999,False
90,11850,20130731,2911,XOM,EXXON MOBIL CORP,93.75,0.037631,0.037631,0.049462,False
91,11850,20130830,2911,XOM,EXXON MOBIL CORP,87.16,-0.063573,-0.070293,-0.031298,False
92,11850,20130930,2911,XOM,EXXON MOBIL CORP,86.04,-0.01285,-0.01285,0.029749,False
93,11850,20131031,2911,XOM,EXXON MOBIL CORP,89.62,0.041609,0.041609,0.044596,False
94,11850,20131129,2911,XOM,EXXON MOBIL CORP,93.48,0.0501,0.043071,0.028049,False
95,11850,20131231,2911,XOM,EXXON MOBIL CORP,101.2,0.082584,0.082584,0.023563,False
96,11850,20140131,2911,XOM,EXXON MOBIL CORP,92.16,-0.089328,-0.089328,-0.035583,False
97,11850,20140228,2911,XOM,EXXON MOBIL CORP,96.27,0.051432,0.044596,0.043117,False
98,11850,20140331,2911,XOM,EXXON MOBIL CORP,97.68,0.014646,0.014646,0.006932,False
99,11850,20140430,2911,XOM,EXXON MOBIL CORP,102.41,0.048423,0.048423,0.006201,False
100,11850,20140530,2911,XOM,EXXON MOBIL CORP,100.53,-0.01162,-0.018358,0.02103,False
101,11850,20140630,2911,XOM,EXXON MOBIL CORP,100.68,0.001492,0.001492,0.019058,False
102,11850,20140731,2911,XOM,EXXON MOBIL CORP,98.94,-0.017282,-0.017282,-0.01508,False
103,11850,20140829,2911,XOM,EXXON MOBIL CORP,99.46,0.01223,0.005256,0.037655,False
104,11850,20140930,2911,XOM,EXXON MOBIL CORP,94.05,-0.054394,-0.054394,-0.015514,False
105,11850,20141031,2911,XOM,EXXON MOBIL CORP,96.71,0.028283,0.028283,0.023201,False
106,11850,20141128,2911,XOM,EXXON MOBIL CORP,90.54,-0.056664,-0.063799,0.024534,False
107,11850,20141231,2911,XOM,EXXON MOBIL CORP,92.45,0.021096,0.021096,-0.004189,False
108,11850,20150130,2911,XOM,EXXON MOBIL CORP,87.42,-0.054408,-0.054408,-0.031041,False
109,11850,20150227,2911,XOM,EXXON MOBIL CORP,88.54,0.020705,0.012812,0.054893,False
110,11850,20150331,2911,XOM,EXXON MOBIL CORP,85.0,-0.039982,-0.039982,-0.017396,False
111,11850,20150430,2911,XOM,EXXON MOBIL CORP,87.37,0.027882,0.027882,0.008521,False
112,11850,20150529,2911,XOM,EXXON MOBIL CORP,85.2,-0.016482,-0.024837,0.010491,False
113,11850,20150630,2911,XOM,EXXON MOBIL CORP,83.2,-0.023474,-0.023474,-0.021012,False
114,11850,20150731,2911,XOM,EXXON MOBIL CORP,79.21,-0.047957,-0.047957,0.019742,False
115,11850,20150831,2911,XOM,EXXON MOBIL CORP,75.24,-0.040904,-0.05012,-0.062581,False
116,11850,20150930,2911,XOM,EXXON MOBIL CORP,74.35,-0.011829,-0.011829,-0.026443,False
117,11850,20151030,2911,XOM,EXXON MOBIL CORP,82.74,0.112845,0.112845,0.082983,False
118,11850,20151130,2911,XOM,EXXON MOBIL CORP,81.66,-0.00423,-0.013053,0.000505,False
119,11850,20151231,2911,XOM,EXXON MOBIL CORP,77.95,-0.045432,-0.045432,-0.01753,False
120,11850,20160129,2911,XOM,EXXON MOBIL CORP,77.85,-0.001283,-0.001283,-0.050735,False
121,11850,20160229,2911,XOM,EXXON MOBIL CORP,80.15,0.038921,0.029544,-0.004128,False
122,11850,20160331,2911,XOM,EXXON MOBIL CORP,83.59,0.042919,0.042919,0.065991,False
123,11850,20160429,2911,XOM,EXXON MOBIL CORP,88.4,0.057543,0.057543,0.002699,False
124,11850,20160531,2911,XOM,EXXON MOBIL CORP,89.02,0.015498,0.007014,0.015329,False
125,11850,20160630,2911,XOM,EXXON MOBIL CORP,93.74,0.053022,0.053022,0.000906,False
126,11850,20160729,2911,XOM,EXXON MOBIL CORP,88.95,-0.051099,-0.051099,0.03561,False
127,11850,20160831,2911,XOM,EXXON MOBIL CORP,87.14,-0.011917,-0.020348,-0.001219,False
128,11850,20160930,2911,XOM,EXXON MOBIL CORP,87.28,0.001607,0.001607,-0.001234,False
129,11850,20161031,2911,XOM,EXXON MOBIL CORP,83.32,-0.045371,-0.045371,-0.019426,False
130,11850,20161130,2911,XOM,EXXON MOBIL CORP,87.3,0.056769,0.047768,0.034174,False
131,11850,20161230,1311,XOM,EXXON MOBIL CORP,90.26,0.033906,0.033906,0.018201,False
132,11850,20170131,1311,XOM,EXXON MOBIL CORP,83.89,-0.070574,-0.070574,0.017884,False
133,11850,20170228,1311,XOM,EXXON MOBIL CORP,81.32,-0.021695,-0.030635,0.037198,False
134,11850,20170331,1311,XOM,EXXON MOBIL CORP,82.01,0.008485,0.008485,-0.000389,False
135,11850,20170428,1311,XOM,EXXON MOBIL CORP,81.65,-0.00439,-0.00439,0.009091,False
136,11850,20170531,1311,XOM,EXXON MOBIL CORP,80.5,-0.004654,-0.014085,0.011576,False
137,11850,20170630,1311,XOM,EXXON MOBIL CORP,80.73,0.002857,0.002857,0.004814,False
138,11850,20170731,1311,XOM,EXXON MOBIL CORP,80.04,-0.008547,-0.008547,0.019349,False
139,11850,20170831,1311,XOM,EXXON MOBIL CORP,76.33,-0.036732,-0.046352,0.000546,False
140,11850,20170929,1311,XOM,EXXON MOBIL CORP,81.98,0.074021,0.074021,0.019303,False
141,11850,20171031,1311,XOM,EXXON MOBIL CORP,83.35,0.016711,0.016711,0.022188,False
142,11850,20171130,1311,XOM,EXXON MOBIL CORP,83.29,0.008518,-0.00072,0.028083,False
143,11850,20171229,1311,XOM,EXXON MOBIL CORP,83.64,0.004202,0.004202,0.009832,False
144,14541,20120131,2911,CVX,CHEVRON CORP NEW,103.12,-0.030827,-0.030827,0.043583,False
145,14541,20120229,2911,CVX,CHEVRON CORP NEW,109.12,0.06604,0.058185,0.040589,False
146,14541,20120330,2911,CVX,CHEVRON CORP NEW,107.21,-0.017504,-0.017504,0.031332,False
147,14541,20120430,2911,CVX,CHEVRON CORP NEW,106.56,-0.006063,-0.006063,-0.007497,False
148,14541,20120531,2911,CVX,CHEVRON CORP NEW,98.31,-0.068975,-0.077421,-0.062651,False
149,14541,20120629,2911,CVX,CHEVRON CORP NEW,105.5,0.073136,0.073136,0.039555,False
150,14541,20120731,2911,CVX,CHEVRON CORP NEW,109.58,0.038673,0.038673,0.012598,False
151,14541,20120831,2911,CVX,CHEVRON CORP NEW,112.16,0.031758,0.023544,0.019763,False
152,14541,20120928,2911,CVX,CHEVRON CORP NEW,116.56,0.03923,0.03923,0.024236,False
153,14541,20121031,2911,CVX,CHEVRON CORP NEW,110.2407,-0.054215,-0.054215,-0.019789,False
154,14541,20121130,2911,CVX,CHEVRON CORP NEW,105.69,-0.033116,-0.04128,0.002847,False
155,14541,20121231,2911,CVX,CHEVRON CORP NEW,108.14,0.023181,0.023181,0.007068,False
156,14541,20130131,2911,CVX,CHEVRON CORP NEW,115.15,0.064823,0.064823,0.050428,False
157,14541,20130228,2911,CVX,CHEVRON CORP NEW,117.15,0.025185,0.017369,0.011061,False
158,14541,20130328,2911,CVX,CHEVRON CORP NEW,118.82,0.014255,0.014255,0.035988,False
159,14541,20130430,2911,CVX,CHEVRON CORP NEW,122.01,0.026847,0.026847,0.018086,False
160,14541,20130531,2911,CVX,CHEVRON CORP NEW,122.75,0.014261,0.006065,0.020763,False
161,14541,20130628,2911,CVX,CHEVRON CORP NEW,118.34,-0.035927,-0.035927,-0.014999,False
162,14541,20130731,2911,CVX,CHEVRON CORP NEW,125.89,0.063799,0.063799,0.049462,False
163,14541,20130830,2911,CVX,CHEVRON CORP NEW,120.43,-0.035428,-0.043371,-0.031298,False
164,14541,20130930,2911,CVX,CHEVRON CORP NEW,121.5,0.008885,0.008885,0.029749,False
165,14541,20131031,2911,CVX,CHEVRON CORP NEW,119.96,-0.012675,-0.012675,0.044596,False
166,14541,20131129,2911,CVX,CHEVRON CORP NEW,122.44,0.02901,0.020674,0.028049,False
167,14541,20131231,2911,CVX,CHEVRON CORP NEW,124.91,0.020173,0.020173,0.023563,False
168,14541,20140131,2911,CVX,CHEVRON CORP NEW,111.63,-0.106317,-0.106317,-0.035583,False
169,14541,20140228,2911,CVX,CHEVRON CORP NEW,115.33,0.042103,0.033145,0.043117,False
170,14541,20140331,2911,CVX,CHEVRON CORP NEW,118.91,0.031041,0.031041,0.006932,False
171,14541,20140430,2911,CVX,CHEVRON CORP NEW,125.52,0.055588,0.055588,0.006201,False
172,14541,20140530,2911,CVX,CHEVRON CORP NEW,122.79,-0.013225,-0.021749,0.02103,False
173,14541,20140630,2911,CVX,CHEVRON CORP NEW,130.55,0.063197,0.063197,0.019058,False
174,14541,20140731,2911,CVX,CHEVRON CORP NEW,129.24001,-0.010034,-0.010034,-0.01508,False
175,14541,20140829,2911,CVX,CHEVRON CORP NEW,129.45,0.009904,0.001625,0.037655,False
176,14541,20140930,2911,CVX,CHEVRON CORP NEW,119.32,-0.078254,-0.078254,-0.015514,False
177,14541,20141031,2911,CVX,CHEVRON CORP NEW,119.95,0.00528,0.00528,0.023201,False
178,14541,20141128,2911,CVX,CHEVRON CORP NEW,108.87,-0.083451,-0.092372,0.024534,False
179,14541,20141231,2911,CVX,CHEVRON CORP NEW,112.18,0.030403,0.030403,-0.004189,False
180,14541,20150130,2911,CVX,CHEVRON CORP NEW,102.53,-0.086022,-0.086022,-0.031041,False
181,14541,20150227,2911,CVX,CHEVRON CORP NEW,106.68,0.050912,0.040476,0.054893,False
182,14541,20150331,2911,CVX,CHEVRON CORP NEW,104.98,-0.015935,-0.015935,-0.017396,False
183,14541,20150430,2911,CVX,CHEVRON CORP NEW,111.06,0.057916,0.057916,0.008521,False
184,14541,20150529,2911,CVX,CHEVRON CORP NEW,103.0,-0.062939,-0.072573,0.010491,False
185,14541,20150630,2911,CVX,CHEVRON CORP NEW,96.47,-0.063398,-0.063398,-0.021012,False
186,14541,20150731,2911,CVX,CHEVRON CORP NEW,88.48,-0.082824,-0.082824,0.019742,False
187,14541,20150831,2911,CVX,CHEVRON CORP NEW,80.99,-0.072559,-0.084652,-0.062581,False
188,14541,20150930,2911,CVX,CHEVRON CORP NEW,78.88,-0.026053,-0.026053,-0.026443,False
189,14541,20151030,2911,CVX,CHEVRON CORP NEW,90.88,0.15213,0.15213,0.082983,False
190,14541,20151130,2911,CVX,CHEVRON CORP NEW,91.32,0.016615,0.004842,0.000505,False
191,14541,20151231,2911,CVX,CHEVRON CORP NEW,89.96,-0.014893,-0.014893,-0.01753,False
192,14541,20160129,2911,CVX,CHEVRON CORP NEW,86.47,-0.038795,-0.038795,-0.050735,False
193,14541,20160229,2911,CVX,CHEVRON CORP NEW,83.44,-0.022667,-0.035041,-0.004128,False
194,14541,20160331,2911,CVX,CHEVRON CORP NEW,95.4,0.143337,0.143337,0.065991,False
195,14541,20160429,2911,CVX,CHEVRON CORP NEW,102.18,0.071069,0.071069,0.002699,False
196,14541,20160531,2911,CVX,CHEVRON CORP NEW,101.0,-0.001077,-0.011548,0.015329,False
197,14541,20160630,2911,CVX,CHEVRON CORP NEW,104.83,0.037921,0.037921,0.000906,False
198,14541,20160729,2911,CVX,CHEVRON CORP NEW,102.48,-0.022417,-0.022417,0.03561,False
199,14541,20160831,2911,CVX,CHEVRON CORP NEW,100.58,-0.008099,-0.01854,-0.001219,False
200,14541,20160930,2911,CVX,CHEVRON CORP NEW,102.92,0.023265,0.023265,-0.001234,False
201,14541,20161031,2911,CVX,CHEVRON CORP NEW,104.75,0.017781,0.017781,-0.019426,False
202,14541,20161130,2911,CVX,CHEVRON CORP NEW,111.56,0.075322,0.065012,0.034174,False
203,14541,20161230,1311,CVX,CHEVRON CORP NEW,117.7,0.055038,0.055038,0.018201,False
204,14541,20170131,1311,CVX,CHEVRON CORP NEW,111.35,-0.053951,-0.053951,0.017884,False
